,time_scraped,time_published,source,title,link,text
318,"11/19/2020, 17:41:25","11/19/2020, 12:25:09",BusinessJournal,Airport authority predicts slow recovery for Reagan and Dulles airports,https://www.bizjournals.com/baltimore/news/2020/11/19/slow-recovery-for-regan-dulles-airports.html?ana=brss_1028,The authority expects to carry over about $154 million in CARES Act funding to next year.
320,"11/19/2020, 17:41:25","11/19/2020, 12:22:44",BusinessJournal,10 blocks in O'Fallon Park slated for $81M in development,https://www.bizjournals.com/stlouis/news/2020/11/19/81m-redevelopment-teed.html?ana=brss_1028,"The project, called The City District, entails a multiphase development, beginning with a $34 million plan for new retail, homes and green space."
324,"11/19/2020, 17:41:25","11/19/2020, 12:04:30",BusinessJournal,Two Tampa Bay area men charged with tax crimes on top of $6.3M fraud,https://www.bizjournals.com/tampabay/news/2020/11/19/tampa-bay-area-men-charged-with-tax-crimes.html?ana=brss_1028,"Accused of defrauding elderly investors out of millions, additional charges were filed against two Tampa Bay residents — a former lawyer and a CPA."
335,"11/19/2020, 17:41:25","11/19/2020, 11:00:00",BusinessJournal,"Buffalo has a new train station, but will that lead to more rail traffic here?",https://www.bizjournals.com/buffalo/news/2020/11/19/track-issues-decreased-ridership-main-reasons.html?ana=brss_1028,New York invested $72.8 million in new passenger stations in Buffalo and Niagara Falls.
338,"11/19/2020, 17:41:25","11/19/2020, 10:27:06",BusinessJournal,"Buoy Health plans new hires, aims to reduce health care 'friction points'",https://www.bizjournals.com/boston/news/2020/11/19/buoy-floats-next-steps-hiring-after-37m-raise.html?ana=brss_1028,The Boston company plans to increase its headcount 75% over the next year and further its technology for return-to-work symptom checking thanks to $37.5 million in recently raised funds.
339,"11/19/2020, 17:41:25","11/19/2020, 10:00:00",BusinessJournal,Birchcreek Wealth Management wants an intimate financial services relationship,https://www.bizjournals.com/dayton/news/2020/11/19/birchcreek-wealth-management.html?ana=brss_1028,Birchcreek Wealth Management was formed in August 2019 to provide financial planning and investment management services.
348,"11/19/2020, 17:41:25","11/18/2020, 23:09:15",BusinessJournal,"New Mexico clarifies what it means to be an 'essential' business, limits some 'big box' retailers to curbside pickup",https://www.bizjournals.com/albuquerque/news/2020/11/18/new-mexico-clarifies-an-essential-business.html?ana=brss_1028,"A retailer that generates more than one-third of its revenue from the sale of packaged and fresh food, among other things, is defined as essential."
353,"11/19/2020, 17:41:25","11/18/2020, 22:11:13",BusinessJournal,"In the wake of new dining restrictions, Albuquerque's food service businesses grapple with difficult decisions, find ways to serve customers",https://www.bizjournals.com/albuquerque/news/2020/11/18/mtuccis-range-cafe-scale-back-operations.html?ana=brss_1028,Restaurant owners expect furloughs and massive drops in sales with the new dining restrictions from the Covid-19 pandemic.
355,"11/19/2020, 17:41:25","11/18/2020, 22:02:46",BusinessJournal,Former Statesman Journal building in Salem hits the market,https://www.bizjournals.com/portland/news/2020/11/18/statesman-journal-building-in-salem-for-sale.html?ana=brss_1028,"The former home of Salem's daily newspaper, the Statesman Journal, has gone on the market with a bundle of other land for $5.25 million."
361,"11/19/2020, 17:41:25","11/18/2020, 21:10:06",BusinessJournal,VanTrust will exponentially grow industrial space in southwest Johnson County,https://www.bizjournals.com/kansascity/news/2020/11/18/vantrust-real-estate-new-century-business-park.html?ana=brss_1028,"The $278.4 million private investment at New Century Business Park is slated to create an estimated 2,675 permanent jobs over the next 10 years."
364,"11/19/2020, 17:41:25","11/18/2020, 20:53:06",BusinessJournal,Wisconsin to receive more than $3M in settlement with Apple over iPhone throttling,https://www.bizjournals.com/milwaukee/news/2020/11/18/wisconsin-to-receive-more-than-3m-in-settlement.html?ana=brss_1028,"Apple Inc. has agreed to pay $113 million, including more than $3.29 million to Wisconsin, in a multistate settlement over the company's efforts to throttle the speeds of consumers' iPhones to cover up battery issues."
365,"11/19/2020, 17:41:25","11/18/2020, 20:48:54",BusinessJournal,"New 'blank check' company in Charlotte headed up by former Barings CEO, cbdMD chairman",https://www.bizjournals.com/charlotte/news/2020/11/18/adara-acquisition-corp-of-charlotte-files-for-ipo.html?ana=brss_1028,Charlotte-based Adara Acquisition Corp. on Wednesday filed for a $100 million initial public offering. Its management team consists of three executives with Charlotte ties.
367,"11/19/2020, 17:41:25","11/18/2020, 20:43:48",BusinessJournal,Georgia Tech clears major hurdle for $750M Technology Enterprise Park expansion,https://www.bizjournals.com/atlanta/news/2020/11/18/georgia-tech-technology-enterprise-park.html?ana=brss_1028,Georgia Tech’s years-long plans to build a $750 million biosciences and health innovation district cleared a major hurdle.
371,"11/19/2020, 17:41:25","11/18/2020, 20:24:59",BusinessJournal,Amazon plans new distribution center near airport,https://www.bizjournals.com/sanantonio/news/2020/11/18/amazon-plans-new-distribution-center.html?ana=brss_1028,Affiliates of Seattle-based e-commerce giant Amazon.com Inc. landed zoning approval Tuesday.
374,"11/19/2020, 17:41:25","11/18/2020, 20:18:11",BusinessJournal,KC investors seize opportunity to support Techstars startup WattBuy,https://www.bizjournals.com/kansascity/news/2020/11/18/techstars-kc-alum-wattbuy-local-investments.html?ana=brss_1028,"Several Kansas City investors, including owners of the Kansas City Royals, have invested in WattBuy."
375,"11/19/2020, 17:41:25","11/18/2020, 20:17:28",BusinessJournal,Waterton finalizes $325M deal in latest instance of money pouring into Atlanta suburbs,https://www.bizjournals.com/atlanta/news/2020/11/18/waterton-apartment-deal-atlanta-suburbs.html?ana=brss_1028,A Chicago real estate investment firm has completed one of the metro region’s largest multifamily transactions this year — in the latest sign institutional capital is pouring money into suburban projects.
376,"11/19/2020, 17:41:25","11/18/2020, 20:17:27",BusinessJournal,"Alabama launching $200M grant program for small businesses, nonprofits",https://www.bizjournals.com/birmingham/news/2020/11/18/state-to-disburse-additional-200m-in-cares-act.html?ana=brss_1028,A second round of grant funding is being disbursed for small businesses and other entities in the state affected by Covid-19.
382,"11/19/2020, 17:41:25","11/18/2020, 19:59:36",BusinessJournal,"2020 CFO of the Year: Joe Khawaja, Twin Cities Habitat for Humanity",https://www.bizjournals.com/twincities/news/2020/11/18/2020-cfo-of-the-year-joseph-khawaja-habitat.html?ana=brss_1028,"Joe Khawaja has spent 2 years as the top financial executive at Twin Cities Habitat for Humanity, during which time he has transformed the nonprofit’s finances to become far less dependent on unstructured borrowing."
383,"11/19/2020, 17:41:25","11/18/2020, 19:58:56",BusinessJournal,"2020 CFO of the Year: Jill Putman, Jamf Holding Corp.",https://www.bizjournals.com/twincities/news/2020/11/18/2020-cfo-of-the-year-jill-putman-jamf.html?ana=brss_1028,Minnesota’s biggest IPO ever has Jill Putman’s fingerprints all over it.
384,"11/19/2020, 17:41:25","11/18/2020, 19:58:29",BusinessJournal,"2020 CFO of the Year: Joe Coughlin, Ergotron Inc.",https://www.bizjournals.com/twincities/news/2020/11/18/2020-cfo-of-the-year-coughlin-ergotron.html?ana=brss_1028,"Joe Coughlin joined Ergotron Inc., which sells standing desks and other equipment that makes office work easier, just last year. But already he's made Ergotron's work easier, too."
388,"11/19/2020, 17:41:25","11/18/2020, 19:48:10",BusinessJournal,CSX among hundreds of companies approved for $250K in NC Covid relief,https://www.bizjournals.com/jacksonville/news/2020/11/18/list-of-nc-companies-getting-covid-relief-grant.html?ana=brss_1028,"The funds are meant to keep workers on the job amid the pandemic. More than 200 companies were awarded the maximum amount possible – $250,000. Here's the list."
391,"11/19/2020, 17:41:25","11/18/2020, 19:41:26",BusinessJournal,"Francesca's to close around 140 stores, still exploring strategic alternatives",https://www.bizjournals.com/chicago/news/2020/11/18/francescas-to-close-around-140-stores.html?ana=brss_1028,"If the company is unable to raise sufficient additional capital to continue to fund operations and pay its obligations, the company will likely need to seek a restructuring under the protection of applicable bankruptcy laws, Francesca's said in an SEC filing."
400,"11/19/2020, 17:41:25","11/18/2020, 19:02:38",BusinessJournal,"Disney's Josh D'Amaro shares Covid takeaways, new peek at attractions and more",https://www.bizjournals.com/orlando/news/2020/11/18/takeaways-on-latest-disney-theme-park-activity.html?ana=brss_1028,The theme parks have continued their investments to improve the guest experience.
402,"11/19/2020, 17:41:25","11/18/2020, 19:01:46",BusinessJournal,Warren Buffett cuts PNC holdings by 64%,https://www.bizjournals.com/pittsburgh/news/2020/11/18/warren-buffett-cuts-pnc-holdings-again.html?ana=brss_1028,"Berkshire Hathaway owned 9.2M shares of Pittsburgh bank in March, now it has about 1.9M, reducing holdings in most banks and investing in pharmaceuticals, according to regulatory filing."
406,"11/19/2020, 17:41:25","11/18/2020, 18:33:35",BusinessJournal,"Grandscape office towers offer opportunities for future tenants, development team says",https://www.bizjournals.com/dallas/news/2020/11/18/grandscape.html?ana=brss_1028,The towers could offer up to 1.5 million square feet of office space.
410,"11/19/2020, 17:41:25","11/18/2020, 18:18:50",BusinessJournal,Valero lays out strategy to reduce greenhouse gas emissions,https://www.bizjournals.com/sanantonio/news/2020/11/18/valero-hops-aboard-the-energy-transition-train.html?ana=brss_1028,"San Antonio's largest public company said it is invested in reducing its carbon footprint, though it will continue to produce fossil fuels."
411,"11/19/2020, 17:41:25","11/18/2020, 18:11:10",BusinessJournal,Covid-19 cases are spiking. See where each Triangle county ranks on NC's new alert system,https://www.bizjournals.com/triangle/news/2020/11/18/where-wake-durham-counties-rank-covid-alert-system.html?ana=brss_1028,The state has a new alert system for monitoring the spread of Covid-19. See where each of the Triangle counties land.
413,"11/19/2020, 17:41:25","11/18/2020, 18:06:15",BusinessJournal,COVID-19 reimbursement claims skyrocket in Texas compared to the rest of the nation,https://www.bizjournals.com/sanantonio/news/2020/11/18/texas-uninsured-costs-per-case-of-covid.html?ana=brss_1028,"In the roughly six months since COVID-19's spread, uninsured Texans have cost the government over $300 million to test and treat the virus."
420,"11/19/2020, 17:41:25","11/18/2020, 17:08:46",BusinessJournal,Nationwide Children's spinoff awarded up to $14M to combat persistent pneumonia,https://www.bizjournals.com/columbus/news/2020/11/18/nationwide-childrens-spinoff-awarded-up-to-14m.html?ana=brss_1028,A Nationwide Children's Hospital spinoff with a novel method of fighting antibiotic-resistant infections has won an up to $14.2 million grant towards commercialization.
421,"11/19/2020, 17:41:25","11/18/2020, 17:08:06",BusinessJournal,Food business incubator joins affordable apartments in North Avenue development plan,https://www.bizjournals.com/milwaukee/news/2020/11/18/food-incubator-joins-affordable-apartments-north.html?ana=brss_1028,Developers gained their first approval toward buying a city of Milwaukee lot on East North Avenue to build new affordable apartments and an accelerator for local food businesses.
423,"11/19/2020, 17:41:25","11/18/2020, 16:47:58",BusinessJournal,Steelers lead the highest-paid local athletes ranking,https://www.bizjournals.com/pittsburgh/news/2020/11/18/see-the-highest-paid-local-professional-athletes.html?ana=brss_1028,"Among 37 local players earning more than $2 million, 17 play for the Steelers."
428,"11/19/2020, 17:41:25","11/18/2020, 16:22:23",BusinessJournal,Home Builders,https://www.bizjournals.com/albany/subscriber-only/2020/09/18/home-builders.html?ana=brss_1028,"Rank Business name / Prior rank Home building revenue in 2019 Average sale price in 2019 Single-family homes built in 2019 New developments in 2020 Top local executive(s)  1 Bonacio Construction, 18 Division St., #401, Saratoga Springs, NY 12866, 518-584-9007, bonacio.com 16100000 498488 11 Burnham Hollow, Wilton; Diamond Pointe, Clifton Park; The Elms, Saratoga Springs; Meadowdale Estates, Latham; Pine Brook Landing, Wilton; Sonny Bonacio  2 Bella Home Builders Inc., 228 Church St., Saratoga..."
429,"11/19/2020, 17:41:25","11/18/2020, 16:02:36",BusinessJournal,Southridge among malls from which owner Simon Property Group is moving on,https://www.bizjournals.com/milwaukee/news/2020/11/18/southridge-among-malls-from-which-owner-simon.html?ana=brss_1028,Southridge Mall in Greendale is one of two for which the owner agreed to a friendly foreclosure.
432,"11/19/2020, 17:41:25","11/18/2020, 15:47:31",BusinessJournal,Texas-based women's fashion retailer to close 140 stores,https://www.bizjournals.com/cincinnati/news/2020/11/18/francescas-to-close-140-stores.html?ana=brss_1028,"The women's apparel retailer, which has five Greater Cincinnati locations, hopes to avoid bankruptcy."
439,"11/19/2020, 17:41:25","11/18/2020, 14:00:00",BusinessJournal,Tempe-based Harvest Health plans divestitures to shore up bottom line,https://www.bizjournals.com/phoenix/news/2020/11/18/harvest-health-divestiture-mode-profits-back-up.html?ana=brss_1028,"The CEO of Tempe-based Harvest Health & Recreation Inc. said that last year the feds threw a monkey wrench into his acquisition plans. Here's how an adjusted strategy is starting to pay off, especially now that recreational marijuana use has been approved in Arizona and several more states for 2021."
444,"11/19/2020, 17:41:25","11/18/2020, 13:40:00",BusinessJournal,Scottsdale-based GoDaddy introduces new services aimed at corporate clients,https://www.bizjournals.com/phoenix/news/2020/11/18/godaddy-new-services-corporate-clients.html?ana=brss_1028,The company's new Corporate Domains service builds off GoDaddy’s February acquisition of the Brandsight domain registrar from Uniregistry.
449,"11/19/2020, 17:41:25","11/18/2020, 13:06:22",BusinessJournal,SmileDirectClub reaches positive profitability metric ahead of schedule,https://www.bizjournals.com/nashville/news/2020/11/18/smiledirectclub-reaches-profitability-milestone.html?ana=brss_1028,"The Nashville-based company reported $3 million in adjusted earnings for the third quarter, according to a filing with the U.S. Securities and Exchange Commission."
455,"11/19/2020, 17:41:25","11/18/2020, 12:40:54",BusinessJournal,Lawrence Group's Steve Smith launches new development company,https://www.bizjournals.com/stlouis/news/2020/11/18/steve-smith-launch-new-and-found-development.html?ana=brss_1028,"The company, called New + Found, will provide real estate consulting services and will make and manage investments."
458,"11/19/2020, 17:41:25","11/18/2020, 12:27:31",BusinessJournal,Sheppard Pratt expanding workforce training pipeline with $250K grant,https://www.bizjournals.com/baltimore/news/2020/11/18/sheppard-pratt-expands-workforce-training-grant.html?ana=brss_1028,"The funding has helped to upgrade Sheppard Pratt's culinary training center for homeless veterans near Fells Point, and will also broadly expand other programs."
461,"11/19/2020, 17:41:25","11/18/2020, 12:22:55",BusinessJournal,St. Louis medtech startup PierianDx names new CEO,https://www.bizjournals.com/stlouis/news/2020/11/18/st-louis-medtech-startup-pieriandx-names-new-ceo.html?ana=brss_1028,The new leader joins the company about a year after it raised $27 million in venture funding.
465,"11/19/2020, 17:41:25","11/18/2020, 11:45:13",BusinessJournal,Francesca's to close 140 stores,https://www.bizjournals.com/dayton/news/2020/11/18/francescas-to-close-140-stores.html?ana=brss_1028,The women's apparel retailer hopes to avoid bankruptcy.
466,"11/19/2020, 17:41:25","11/18/2020, 11:30:00",BusinessJournal,Covid-19 delayed $10M custom yacht in North Carolina. Now buyer is suing.,https://www.bizjournals.com/charlotte/news/2020/11/18/nc-yacht-builder-sued-after-covid-delays-order.html?ana=brss_1028,When you pay $10 million for a yacht — you expect it to be delivered on time. But a pandemic doesn’t care about the price tag.
469,"11/19/2020, 17:41:25","11/18/2020, 11:04:54",BusinessJournal,Nearly 2/3 of older Black Americans can’t afford to live alone without help,https://www.bizjournals.com/boston/news/2020/11/18/nearly-two-thirds-of-older-black-americans.html?ana=brss_1028,These disparities often reflect lifelong disadvantages that add up as people of color encounter structural racism and discrimination that shape their ability to buy property and save for the future.
470,"11/19/2020, 17:41:25","11/18/2020, 11:00:00",BusinessJournal,"P1 Ventures partners with Colorado firm, brings manufacturing work to New York",https://www.bizjournals.com/albany/news/2020/11/18/p1-moves-assembly-work-from-colorado-to-upstate-ny.html?ana=brss_1028,P1 of Schenectady employs approximately 100 people and is wrapping up a strong year with revenue expected to reach $20 million.
471,"11/19/2020, 17:41:25","11/18/2020, 02:40:58",BusinessJournal,Stacy Jones leads Realogics Sotheby's International through record year,https://www.bizjournals.com/seattle/news/2020/11/17/women-influence-stacy-jones-realogics-sothebys.html?ana=brss_1028,"I had to pivot quickly and make the decision that we were not going to furlough or lay off any employees, she said. ""Our brokers and staff are having a record year with sales 35% to 45% beyond last year, and this year looks like we will be ending close to $2.7 billion in annual sales.”"
472,"11/19/2020, 17:41:25","11/18/2020, 01:03:46",BusinessJournal,KC restaurants brace for another hit when it's too cold for outdoor dining,https://www.bizjournals.com/kansascity/news/2020/11/17/kc-restaurants-winter-dining-plans-occupancy-rules.html?ana=brss_1028,"Patios and heaters have helped area restaurants pull back diners, but they will be no match for real winter weather and new Covid-19 occupancy restrictions ahead. ""We're treading water and just constantly looking to new ways to do things."""
473,"11/19/2020, 17:41:25","11/18/2020, 00:58:33",BusinessJournal,"Retailer Francesca's, with 5 St. Louis-area stores, to close 140 locations",https://www.bizjournals.com/stlouis/news/2020/11/17/francescas-to-close-140-stores.html?ana=brss_1028,The women's apparel retailer hopes to avoid bankruptcy.
475,"11/19/2020, 17:41:25","11/17/2020, 23:46:59",BusinessJournal,Developer of massive $132M Atlanta Beltline mixed-use project files plans with state,https://www.bizjournals.com/atlanta/news/2020/11/17/atlanta-beltline-empire-communities.html?ana=brss_1028,A $132 million mixed-use project planned to be built near the Atlanta Beltline’s Southside Trail is now under review by state officials.
479,"11/19/2020, 17:41:25","11/17/2020, 22:59:33",BusinessJournal,Bay Area drone startup expands in Bend,https://www.bizjournals.com/portland/news/2020/11/17/bay-area-drone-startup-expands-in-bend.html?ana=brss_1028,"Fresh off a $50 million investment, Volansi is opening a new facility in Bend to develop and test its drones. The technology is used by customers mainly for logistics and delivery to remote destinations."
486,"11/19/2020, 17:41:25","11/17/2020, 22:16:14",BusinessJournal,Mana Up's pivot to virtual showcase becomes blueprint for future events,https://www.bizjournals.com/pacific/news/2020/11/17/mana-ups-pivot-to-virtual-showcase-now-a-blueprint.html?ana=brss_1028,"This year, the showcase is less about pitching and sales. It was curated as more of an immersive QVC-style event."
489,"11/19/2020, 17:41:25","11/17/2020, 22:05:14",BusinessJournal,"1,000 multifamily units proposed on recently sold 27-acre tract in Central Park neighborhood",https://www.bizjournals.com/denver/news/2020/11/17/mid-america-apartments-central-park-denver.html?ana=brss_1028,The land sold earlier in November to a Tennessee-based developer.
490,"11/19/2020, 17:41:25","11/17/2020, 22:04:35",BusinessJournal,Douglas Development proposes redeveloping the historic Cotton Annex,https://www.bizjournals.com/washington/news/2020/11/17/plans-filed-for-cotton-annex-redevelopment.html?ana=brss_1028,The developer acquired the property for $30.3 million.
491,"11/19/2020, 17:41:25","11/17/2020, 21:48:19",BusinessJournal,"Home Depot to boost pay for frontline, hourly employees",https://www.bizjournals.com/pacific/news/2020/11/17/home-depot-boost-pay-frontline-hourly-employees.html?ana=brss_1028,The move comes as the company reported its third quarter 2020 sales were up 23 percent from the same period last year.
492,"11/19/2020, 17:41:25","11/17/2020, 21:36:00",BusinessJournal,Boeing sell-off continues with Melbourne facility deal,https://www.bizjournals.com/stlouis/news/2020/11/17/boeing-australia-mro-asset-purchase-quickstep.html?ana=brss_1028,The deal is Boeing's latest move to raise cash by selling off assets.
498,"11/19/2020, 17:41:25","11/17/2020, 20:58:44",BusinessJournal,New website maps Twin Cities' subleasing surge,https://www.bizjournals.com/twincities/news/2020/11/17/eddie-rymer-sublease-website-showmespace.html?ana=brss_1028,"With more and more companies deciding to shed their office space, a Twin Cities real estate pro and entrepreneur wants to pull back the curtain on what’s available in the sublease market."
501,"11/19/2020, 17:41:25","11/17/2020, 20:49:22",BusinessJournal,George Floyd memorial scholarship adopted by universities across U.S.,https://www.bizjournals.com/twincities/news/2020/11/17/george-floyd-scholarship-memorial.html?ana=brss_1028,Over a dozen universities have adopted George Floyd memorial scholarships since North Central University President Scott Hagan challenged universities to start their own funds in Floyd's name.
503,"11/19/2020, 17:41:25","11/17/2020, 20:38:31",BusinessJournal,"AgEagle adding to Wichita leadership team, keeping major customer quiet",https://www.bizjournals.com/wichita/news/2020/11/17/ageagle-leadership-team.html?ana=brss_1028,The drone company's CEO said this week there is potential for growth through mergers and acquisitions.
504,"11/19/2020, 17:41:25","11/17/2020, 20:35:51",BusinessJournal,MWAA predicts slow recovery for Reagan and Dulles airports,https://www.bizjournals.com/washington/news/2020/11/17/slow-recovery-for-regan-dulles-airports.html?ana=brss_1028,The authority expect to carry over about $154 million in CARES Act funding to next year.
506,"11/19/2020, 17:41:25","11/17/2020, 20:34:29",BusinessJournal,Alan Maskin shares how the Space Needle renovation kept him up at night,https://www.bizjournals.com/seattle/news/2020/11/17/alan-maskin-designer-of-the-year.html?ana=brss_1028,"His firm, Olson Kundig, was the architect for the high-profile project. “The tower is privately owned, but everyone in Seattle feels a kind of ownership of it,” Maskin says."
507,"11/19/2020, 17:41:25","11/17/2020, 20:30:00",BusinessJournal,Private equity firm Black Dragon Capital recruits WWE executive Tracey Arrowood-Shaw,https://www.bizjournals.com/southflorida/news/2020/11/17/black-dragon-capital-recruits-wwe-executive.html?ana=brss_1028,Black Dragon Capital reports it has $400 million in assets under management.
508,"11/19/2020, 17:41:25","11/17/2020, 20:27:26",BusinessJournal,"Hines to turn Dallas' Maple Terrace into offices, build 21-story high-rise next door",https://www.bizjournals.com/houston/news/2020/11/17/hines-dallas-uptown-maple-terrace-mixed-use.html?ana=brss_1028,"The project could cost nearly $130 million, according to plans."
511,"11/19/2020, 17:41:25","11/17/2020, 20:22:08",BusinessJournal,Leah & Louise earns accolades from Esquire magazine as one of nation's best new restaurants,https://www.bizjournals.com/charlotte/news/2020/11/17/leah-louise-among-best-new-restaurants-in-nation.html?ana=brss_1028,"Leah & Louise snagged national accolades from Esquire magazine, landing on the publication's list of best new restaurants."
513,"11/19/2020, 17:41:25","11/17/2020, 20:19:11",BusinessJournal,"2020 CFO of the Year: Peter Mitsch, University of Minnesota Medical School and University of Minnesota Physicians",https://www.bizjournals.com/twincities/news/2020/11/17/2020-cfo-of-the-year-pete-mitsch.html?ana=brss_1028,"Peter Mitsch pulls a double shift, serving as the top financial executive at the University of Minnesota Medical School and University of Minnesota Physicians."
514,"11/19/2020, 17:41:25","11/17/2020, 20:18:45",BusinessJournal,"2020 CFO of the Year: Brenda McCormick, Children's Minnesota",https://www.bizjournals.com/twincities/news/2020/11/17/2020-cfo-of-the-year-brenda-mccormick.html?ana=brss_1028,"Brenda McCormick is chief financial officer at Children’s Hospital, which faced a $91 million year-to-date- nonoperating loss in March when Covid-19 struck. She moved to cut expenses and led an effort to win $25 million in grants for Children’s."
516,"11/19/2020, 17:41:25","11/17/2020, 20:12:08",BusinessJournal,"Nucor signs first virtual power purchase agreement in Texas, largest for steel industry",https://www.bizjournals.com/triangle/news/2020/11/17/nucor-edf-renewable-virtual-power-purchase.html?ana=brss_1028,The Charlotte-based steel manufacturer inked a 15-year agreement with EDF Renewable North America for 250 megawatts of new solar energy in Texas. It's the largest agreement of its kind for the steel industry.
517,"11/19/2020, 17:41:25","11/17/2020, 20:11:56",BusinessJournal,Former Tucson banker faces prison in fraud case,https://www.bizjournals.com/phoenix/news/2020/11/17/former-tucson-banker-faces-prison-in-fraud-case.html?ana=brss_1028,"According to court filings, the man had set up a bank account for an 82-year-old victim and then allegedly siphoned off funds from that account before the scheme was discovered."
519,"11/19/2020, 17:41:25","11/17/2020, 20:06:34",BusinessJournal,Covid delayed $10M custom yacht in NC. Now buyer is suing.,https://www.bizjournals.com/triad/news/2020/11/17/nc-yacht-builder-sued-after-covid-delays-order.html?ana=brss_1028,"When you pay $10 million for a yacht, you expect it to be delivered on time. But a pandemic doesn’t care about the price tag."
521,"11/19/2020, 17:41:25","11/17/2020, 20:06:00",BusinessJournal,See Orlando’s most expensive homes to hit the market so far in Q4,https://www.bizjournals.com/orlando/news/2020/11/17/see-orlando-s-most-expensive-homes-to-hit-the-mark.html?ana=brss_1028,"There were 62 Orlando homes sold for $1 million or more in October, 2020's second-best month for luxury home sales."
524,"11/19/2020, 17:41:25","11/17/2020, 20:03:29",BusinessJournal,Triangle health system builds presence in Cameron Village,https://www.bizjournals.com/triangle/news/2020/11/17/wakemed-opens-new-practices-in-cameron-village.html?ana=brss_1028,The expansion adds to growing investments in Cameron Village.
529,"11/19/2020, 17:41:25","11/17/2020, 19:45:33",BusinessJournal,Three First Coast industrial properties sold as part of $800M deal,https://www.bizjournals.com/jacksonville/news/2020/11/17/three-first-coast-properties-sold-800m-deal.html?ana=brss_1028,"An Alabama-based company sold three properties to a Pennsylvania-based property group in two recent transactions for a total of more than $63 million, according to county records."
538,"11/19/2020, 17:41:25","11/17/2020, 19:31:42",BusinessJournal,Atlanta-based electronic signature platform AssureSign names new CFO,https://www.bizjournals.com/atlanta/news/2020/11/17/atlanta-based-assuresign-names-new-cfo.html?ana=brss_1028,An Atlanta-based electronic signature platform hired a new chief financial officer after announcing an investment led by Recurring Capital Partners.
539,"11/19/2020, 17:41:25","11/17/2020, 19:28:38",BusinessJournal,Activist investor that went after AT&T last year exits its holdings in the company,https://www.bizjournals.com/dallas/news/2020/11/17/elliott-att.html?ana=brss_1028,Elliott sold off 5 million shares in latest quarter after calling for changes at Dallas telecommunications giant.
540,"11/19/2020, 17:41:25","11/17/2020, 19:16:02",BusinessJournal,Most Admired CEO Lydia Jumonville stays patient-focused during a pandemic,https://www.bizjournals.com/denver/news/2020/11/17/dbj-most-admired-ceo-lydia-jumonville.html?ana=brss_1028,"The CEO's journey at SCL Health started as CFO, when she led a team that turned around the faith-based health organization's finances."
546,"11/19/2020, 17:41:25","11/17/2020, 18:40:07",BusinessJournal,Greensboro-Randolph Megasite Foundation exercises option on 20 acres,https://www.bizjournals.com/triangle/news/2020/11/17/nc-megasite-owner-exercises-option-on-20-acres.html?ana=brss_1028,"The group paid $1.5 million for four parcels already included within the 1,825-acre site."
548,"11/19/2020, 17:41:25","11/17/2020, 18:25:04",BusinessJournal,"Marcus Theatres, Milwaukee Film among firms sharing $10M in state grants for movie theaters",https://www.bizjournals.com/milwaukee/news/2020/11/17/marcus-theatres-and-milwaukee-film-among-those-to.html?ana=brss_1028,"Wisconsin Gov. Tony Evers said Tuesday that $10 million in Covid-19 movie theater grants will be awarded to 54 movie theater operations in the state, including Milwaukee-based Marcus Theatres Corp. and local nonprofit Milwaukee Film."
549,"11/19/2020, 17:41:25","11/17/2020, 18:18:52",BusinessJournal,New Cincinnati private equity firm hits fundraising milestone,https://www.bizjournals.com/cincinnati/news/2020/11/17/new-private-equity-firm-closes-first-fund.html?ana=brss_1028,"A new Cincinnati private equity firm launched by prominent business people has completed a first close of its initial fund, enabling it to start investing in companies."
553,"11/19/2020, 17:41:25","11/17/2020, 18:00:55",BusinessJournal,Pandemic-fueled growth prompts wine retailer to expand,https://www.bizjournals.com/stlouis/news/2020/11/17/st-louis-wine-retailer-expands.html?ana=brss_1028,"Online sales have grown ""exponentially"" during the pandemic for this wine retailer, causing it to look for new space."
560,"11/19/2020, 17:41:25","11/17/2020, 17:24:40",BusinessJournal,"Former JCAP CFO Kelly Luttrell on her time with the company, next steps",https://www.bizjournals.com/memphis/news/2020/11/17/former-jcap-cfo-kelly-luttrell.html?ana=brss_1028,"When Jernigan Capital was acquired by NexPoint, CFO Kelly Luttrell realized she'd be out of a job. But she's grateful for her time with the company, and excited for whatever comes next."
563,"11/19/2020, 17:41:25","11/17/2020, 16:50:04",BusinessJournal,JPMorgan Chase to open Bellevue branch,https://www.bizjournals.com/nashville/news/2020/11/17/jpmorgan-to-open-bellevue-branch.html?ana=brss_1028,"The 3,298-square-foot branch will cost nearly $3.5 million to construct and would be JPMorgan’s fourth in the Nashville area, if opened today."
567,"11/19/2020, 17:41:25","11/17/2020, 16:02:29",BusinessJournal,Walmart pops as shoppers made fewer trips in Q3 but bought more,https://www.bizjournals.com/bizwomen/news/latest-news/2020/11/walmart-shoppers-fewer-trips-in-q3-online-growth.html?ana=brss_1028,Pickup and delivery sales were up by triple digits.
572,"11/19/2020, 17:41:25","11/17/2020, 15:45:00",BusinessJournal,Homebuilders pick up pace in suburbs nationwide amid pullback from urban centers,https://www.bizjournals.com/phoenix/news/2020/11/17/home-builders-suburbs-demand-pullback-from-cities.html?ana=brss_1028,"Among the 354 metropolitan areas The Business Journals analyzed, 236 reported year-to-date increases in single-family building permits through September, with areas in the Midwest and South recording the largest increases. The analysis breaks down key markets across Arizona, where builders are pulling more permits to try to keep up with demand."
